name,city,iata_code,icao,latitude,longitude,url,city_code,country,state,county
Luqiao Airport,Hengjie,HYN,ZSLQ,28.562648799999998,121.4248379160332,,HYN,CN,Zhejiang Sheng,
Municipal,Hayward,HYR,KHYR,46.024445,-91.44444,http://sawyercountygov.org/Departments/Airport/tabid/93/Default.aspx,HYR,US,Wisconsin,Sawyer County
Hays Municipal Airport,Hays,HYS,KHYS,38.84611,-99.27417,,HYS,US,Kansas,Ellis County
Hyvinkaa,Hyvinge,HYV,EFHV,60.6531076,24.8818934,,HYV,FI,Uusimaa,Helsinki
Establecimiento El Araza Airport,General Guido,HZA,,-36.7756,-57.6414,,HZA,AR,Buenos Aires,Partido de General Guido
Merville/Calonne,Merville,HZB,LFQT,50.61904975,2.6440712081169275,,HZB,FR,Nord-Pas-de-Calais,Departement du Nord
Hanzhong Airport,Xiangshui,HZG,ZLHZ,32.983334,107.183334,,HZG,CN,Shaanxi,
Liping Airport,Longlisuo,HZH,ZUNP,26.32249205,109.15044436646232,,HZH,CN,Guizhou Sheng,
Husavik,,HZK,BIHU,65.95448809999999,-17.424923368250234,,HZK,IS,,
Hazleton,Harleigh,HZL,KHZL,40.98328465,-75.99555034026227,http://hazletonfbo.com/default.htm,HZL,US,Pennsylvania,Luzerne County
Horizon,,HZP,CYNR,57.381668,-111.70111,,HZP,CA,,
Chengdu Huaizhou Airport,Majialin Village,HZU,,30.67744769548,104.5295206131,,HZU,CN,Chengdu,Jintang County
Hazyview,,HZV,,-25.0494316,31.1319476,,HZV,ZA,,
Igarka Airport,Igarka,IAA,UOII,67.43420384999999,86.63030252298526,,IAA,RU,Krasnoyarskiy,
Mcconnell AFB,,IAB,KIAB,37.68114,-97.27617,http://public.mcconnell.amc.af.mil/,ICT,US,,
Washington Dulles International Airport,Floris,IAD,KIAD,38.95226625,-77.4534849116007,http://www.mwaa.com/dulles/,WAS,US,Virginia,Fairfax County
Niagara Falls International Airport,Sanborn,IAG,KIAG,43.1074871,-78.95086767626398,,IAG,US,New York,Niagara County
George Bush Intercontinental Airport,,IAH,KIAH,29.9841416,-95.33298595614491,http://www.fly2houston.com/iah,HOU,US,,
In Amenas Airport,,IAM,DAUZ,28.05539045,9.644012211467604,,IAM,DZ,,
